inventarisnummer|Straat|Thv|X|Y|GSM|Deelgemeente
FT561|C DE VRIESELN|49|51,916229248|4,4592199326|0633540976|Delfshaven
FT562|GR FLORISSTR|98|51,9191894531|4,4570298195|0633540977|Delfshaven
FT563|C DE VRIESELN|43|51,9163894653|4,459209919|0633540978|Delfshaven
FT564|S GRAVENDYKWAL|161|51,9123306274|4,4633798599|0633540979|Delfshaven
FT565|SCHIETBAANLN|2|51,915599823|4,4626197815|0633540980|Delfshaven
FT566|BURG MEINESZLN|71|51,9186515808|4,4514298439|0633540981|Delfshaven
FT567|BEUKELSWG|19|51,9198684692|4,4465298653|0633540982|Delfshaven
FT568|BEUKELSDK|165|51,9203681946|4,4510102272|0633540983|Delfshaven
FT569|ROCHUSSENSTR|285|51,9094810486|4,4565200806|0633540984|Delfshaven
FT57|SCHIELN|62/64|51,9441413879|4,4228200912||Overschie
FT570|SCHIETBAANLN|6|||0633540985|Delfshaven
FT571|MATHENESSERLN|454|51,9145584106|4,4444699287|0633540986|Delfshaven
FT572|HONDIUSSTR|17|51,9123802185|4,4597101212|0633540987|Delfshaven
FT573|S MULLERSTR|21|51,9133605957|4,4472799301|0633540988|Delfshaven
FT574|SCHERMLN|2|51,917011261|4,4625701904|0633540989|Delfshaven
FT575|V OOSTERZEESTR|4|51,9191703796|4,4492101669|0633540990|Delfshaven
